"class","Candidate","Endangered","Experimental Population, Non-Essential","Extinction","Original Data in Error - Erroneous Data","Original Data in Error - New Information Discovered","Original Data in Error - Taxonomic Revision","Proposed Endangered","Proposed Similarity of Appearance to a Threatened Taxon","Proposed Threatened","Recovery","Resolved Taxon","Similarity of Appearance to a Threatened Taxon","Species of Concern","Status Undefined","Threatened","Under Review in the Candidate or Petition Process","<NA>"
"Actinopterygii",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,10
"Amphibia",2,10,NA,NA,1,NA,NA,1,NA,NA,NA,24,NA,12,NA,11,30,181
"Andreaeopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Anopla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Anthocerotopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"Anthozoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,178
"Arachnida",NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,19,4,NA,1,239
"Ascidiacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"Asteroidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"Aves",1,52,2,1,1,NA,NA,NA,NA,1,2,28,NA,95,7,16,11,597
"Bacillariophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"Bivalvia",5,45,18,NA,NA,NA,NA,1,NA,1,NA,5,NA,8,2,10,32,198
"Branchiopoda",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,39
"Bryopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,147
"Cephalaspidomorphi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,15
"Cephalopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"Chilopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"Chlorophyta incertae sedis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Chondrichthyes",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
"Chondrostei",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,2
"Clitellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Collembola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,48
"Conjugatophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"Cryptophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Cyanophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"Demospongiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4
"Diplopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119
"Diplura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"Echinoidea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"Elasmobranchii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Errantia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"Eutardigrada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Florideophyceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
"Gastropoda",1,24,NA,NA,NA,NA,NA,NA,NA,NA,1,44,NA,75,4,10,57,766
